original_name,standardized_name,Agriculture,Energy,Transportation,Biological_use_hunting,Invasive_species,Climate_change,Number_of_threats,Primary_lifestyle,Beak_length_culmen,Beak_depth,Tarsus_length,Wing_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Adult_survival_annual,Generation_length,Foraging_strategy,Nest_placement,Territoriality,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Caprimulgus whitelyi,Setopagis whitelyi,0,0,0,0,0,1,1,Aerial,17.4,2.7,11.9,155.7,46.4,99.3,3.37,6.24,0,L,1,1280,520,1800,2,1,0.714097863,3.342160453,AerialScreaning,ExposedGround,weak,1.863269942,2,CAPRIMULGIFORMES,Caprimulgidae,45695.27,47,LC,2,Invertebrate,Forest,PartiallyMigratory,Lower_risk
Stercorarius antarcticus,Stercorarius antarcticus,0,0,0,0,1,0,1,Aerial,59.2,19.5,71.7,401.4,49,148.2,-71.82,-18.55,0,SZ,3,0,0,0,1,5,0.93,15.25984399,AerialScreaning,ExposedGround,none,1.951777127,1.7,CHARADRIIFORMES,Stercorariidae,87990607.82,1650,LC,2,AquaticAnimals,Sea,Migratory,Lower_risk
Stercorarius chilensis,Stercorarius chilensis,0,0,0,1,0,1,2,Aerial,53.6,17.9,63.6,379.6,49.9,128.5,-55.98,-36.97,0,L,2,0,0,0,2,4,0.924438296,13.00192453,AerialScreaning,ExposedGround,none,2.108916977,6.2,CHARADRIIFORMES,Stercorariidae,274591.67,1367.8,LC,2,AquaticAnimals,Sea,Migratory,Lower_risk
Stercorarius maccormicki,Stercorarius maccormicki,0,0,0,0,0,0,0,Aerial,52.7,17.6,56.2,386.8,50,135,-82.34,-60.52,0,CZ,4,0,0,0,3,4,0.95,15.40321165,AerialScreaning,ExposedGround,none,1.754776196,1,CHARADRIIFORMES,Stercorariidae,109012.82,1347.1,LC,2,AquaticAnimals,Sea,Migratory,Lower_risk
Stercorarius skua,Stercorarius skua,0,0,0,1,0,1,2,Aerial,54.4,17.3,61.7,394.6,53.3,146.4,57.56,79.56,0,C,2,0,0,0,2,4,0.914806694,15.04855339,AerialScreaning,ExposedGround,none,3.503085089,16,CHARADRIIFORMES,Stercorariidae,16138.54,1338.2,LC,2,AquaticAnimals,Sea,Migratory,Lower_risk
Catoptrophorus semipalmatus,Tringa semipalmata,1,0,0,1,0,0,3,Terrestrial,67.4,7.2,65.4,203.5,47.6,73.8,17.47,55.38,0,LN,2,0,500,500,3,2,0.814140729,5.541358723,GroundForaging,ExposedGround,weak,4.102327196,42.5,CHARADRIIFORMES,Scolopacidae,2508839.89,245.7,LC,4,AquaticAnimals,Coastal,Migratory,Lower_risk
Celeus brachyurus,Micropternus brachyurus,0,0,0,0,0,0,0,Insessorial,28,7.9,20,118.2,17.9,66,-8.08,31.16,0,I,2,0,1740,1740,4,1,0.742780936,3.963518801,BarkGleaning,Cavity,strong,3.611879487,223.4,PICIFORMES,Picidae,6131273.93,85.9,LC,3,Invertebrate,Forest,Sedentary,Lower_risk
Cercomacra laeta,Cercomacra laeta,0,0,0,0,0,0,0,Insessorial,17.1,4.5,21.8,59,7.6,54,-10.4,2.51,0,L,1,0,300,300,4,1,0.694151915,3.018381418,ArborealGleaning,ExposedElevated,strong,2.612178609,19.6,PASSERIFORMES,Thamnophilidae,393677.48,16,LC,2,Invertebrate,Forest,Sedentary,Lower_risk
Cercomacra serva,Cercomacra serva,0,0,0,0,0,0,0,Insessorial,17.9,4.5,22.4,63.9,12.3,58.2,-15.62,1.6,0,L,1,0,1350,1350,3,1,0.653544158,2.637471801,ArborealGleaning,ExposedElevated,strong,2.028114982,4.2,PASSERIFORMES,Thamnophilidae,1344617.26,17,LC,2,Invertebrate,Forest,Sedentary,Lower_risk
Cercomacra tyrannina,Cercomacra tyrannina,0,0,0,0,0,0,0,Insessorial,18.2,4.5,22.4,62.7,9.3,60.4,-4.02,18.52,0,L,1,0,1200,1200,4,1,0.7305,3.214232959,ArborealGleaning,ExposedElevated,strong,2.402287623,13.2,PASSERIFORMES,Thamnophilidae,3170819.2,16.3,LC,2,Invertebrate,Forest,Sedentary,Lower_risk
Certhilaudi albescens,Calendulauda albescens,0,0,0,0,0,1,1,Terrestrial,18.1,4.5,24.1,86.2,17.6,60,-34.16,-28.14,0,F,3,0,500,500,3,4,0.663812958,3.00921888,GroundForaging,Cavity,strong,2.462887587,16.1,PASSERIFORMES,Alaudidae,283792.89,30.4,LC,4,Invertebrate,Shrub,Sedentary,Lower_risk
Certhionyx niger,Sugomel niger,0,0,0,0,0,0,0,Insessorial,18,2.5,13.6,66.9,26.9,41.2,-37.55,-14.87,0,A,2,0,1000,1000,5,2,0.613692332,2.551772478,ArborealGleaning,ExposedElevated,weak,1.822961594,1.6,PASSERIFORMES,Meliphagidae,5440427.41,9.9,LC,3,Nectar,Shrub,Migratory,Lower_risk
Certhionyx pectoralis,Cissomela pectoralis,0,0,0,0,0,0,0,Insessorial,16.1,2.8,16.4,67.2,21,42.1,-20.93,-10.69,0,A,1,0,1000,1000,7,3,0.588090728,2.461153735,ArborealGleaning,ExposedElevated,weak,2.157954036,1.5,PASSERIFORMES,Meliphagidae,1086177.68,10.1,LC,2,Nectar,Grassland,Sedentary,Lower_risk
Urosphena pallidipes,Urosphena pallidipes,0,0,0,0,0,0,0,Generalist,13,2.7,19.1,49.1,10.8,41,10.51,31.51,0,IP,2,250,2005,2255,3,1,0.538824181,2.05297798,ArborealGleaning,Cavity,weak,3.035428367,80.2,PASSERIFORMES,Scotocercidae,1159426.52,10,LC,4,Invertebrate,Shrub,Sedentary,Lower_risk
Cettia ruficafilla,Horornis ruficapilla,0,0,0,0,0,0,0,Generalist,16.2,3.3,23.2,57.2,15.2,51.2,-19.17,-16.15,1,O,1,0,1200,1200,3,1,0.65011543,2.745983259,ArborealGleaning,Cavity,strong,2.778130393,67.2,PASSERIFORMES,Scotocercidae,16891.29,12.7,LC,2,Invertebrate,Forest,Sedentary,Lower_risk
