Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Leptotila rufaxilla,Lower_risk,Terrestrial,L,PL,S-T,No,Columbiformes,GroundForaging,NonCooperative,ExposedElevated,weak,No,Columbidae,Seed,Forest,Sedentary,No,20.3,10.4,3.4,4.5,27.3,135.5,32.9,101.6,24.5,94.3,1,-33.53,10.84,2,550,3,2,1.028737345,2.890371758,11668214.68,157,2
Leptotila verreauxi,Lower_risk,Terrestrial,L,HC,S,No,Columbiformes,GroundForaging,NonCooperative,ExposedElevated,weak,No,Columbidae,Seed,Forest,Sedentary,No,19.5,10,3.6,4,27.7,136.7,29.8,104.6,22.1,102.1,1,-36.95,30.78,2,2200,5,3,1.081882614,3.234749174,15542979.81,146.9,2
Leptotila wellsi,Higher_risk,Terrestrial,L,PL,T,No,Columbiformes,GroundForaging,NonCooperative,ExposedElevated,weak,Yes,Columbidae,Seed,Woodland,Sedentary,Yes,21.2,9.6,3.2,4.9,32.2,138,21.6,116.4,15.7,91,1,12,12.12,1,150,2,3,2.337612123,0,15.36,200,2
Leptotrygon veraguensis,Lower_risk,Insessorial,L,PL,S,No,Columbiformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Columbidae,Seed,Forest,Sedentary,No,20.1,6.8,2.6,3.9,35.4,132.2,35.7,95.8,27.1,69.8,1,0.84,11.01,1,900,1,3,1.056138353,3.56573037,127743.93,155,2
Lerwa lerwa,Lower_risk,Terrestrial,IP,SC,G-R-S,No,Galliformes,GroundForaging,NonCooperative,ExposedGround,none,No,Phasianidae,Herbivore,Grassland,Sedentary,No,21.2,14.9,10.2,9.9,37,186.6,67.6,116.9,36.6,98.8,3,26.97,37.24,3,2500,3,2,0.53182959,1.987874348,831638.53,567.3,7
Lesbia nuna,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,17.9,13,2.4,1.9,5.2,51.7,31.5,19.1,62.1,72.6,2,-17.42,5.67,1,2100,3,2,1.151802898,4.141546164,251932.1,3.7,2
Lesbia victoriae,Lower_risk,Aerial,L,CP,S-T-R,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,18.6,13.8,2.6,2.1,5.8,58.6,37.1,21,63.8,91.8,2,-14.33,7.29,1,1400,3,2,1.235489276,4.473921899,197489.26,5,2
Lessonia oreas,Lower_risk,Generalist,L,CP,Z,No,Passeriformes,AerialSallying,NonCooperative,ExposedGround,weak,No,Tyrannidae,Invertebrate,Grassland,PartiallyMigratory,No,13.6,6.9,3.1,2.7,21.8,79.3,17.7,61.4,22.4,48.5,3,-30.68,-9.65,2,1000,1,1,0.908086519,2.778819272,831919.21,13.8,4
Lessonia rufa,Lower_risk,Terrestrial,L,CP,G-R,No,Passeriformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Tyrannidae,Invertebrate,Grassland,Migratory,No,13.6,6.8,3,2.4,21.9,72.3,18,54.9,24.7,44.2,3,-55.98,-31.15,2,1000,4,1,0.894427191,2.493205453,1305752.32,13.4,4
Leucippus baeri,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,24.7,18.8,2.2,2,5.3,56.7,36.1,20.6,63.7,34,2,-6.61,-3.37,1.014506667,1266.163637,2.680543091,1.954604875,1.101106519,3.77505715,38502.33,4.5,2
Leucippus chlorocercus,Lower_risk,Aerial,L,CP,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,19.6,14.8,2.4,2,5.9,56.1,34,22.1,60.7,35.2,1,-8.65,-0.19,1.003124444,1082.70975,2.613363798,1.973858208,0.933691485,2.990719732,173795.89,4.6,2
Leucippus fallax,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,22.6,17.4,2.3,2.2,5.6,60,36.4,22.8,61.5,34.6,2,9.3,12.46,1,800,4,2,1.437497072,4.443827036,93947.05,6,2
Leucippus taczanowskii,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,27.7,22.1,2.6,2,5.8,69.6,44,25.6,63.2,40.2,2,-10.49,-5.02,1.004917778,1235.045162,2.618304868,1.944572991,0.86117353,3.446807893,86686.52,6.4,2
Leucocarbo atriceps,Lower_risk,Aquatic,L,PL,R-T-G,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedGround,none,No,Phalacrocoracidae,Fish,Sea,PartiallyMigratory,No,65.7,43.6,9.7,13.5,65.6,295.4,101.1,194.2,34.4,123.1,3,-67.4,-37.15,3,800,3,2,0.795270729,1.791759469,351758.17,2000,5
Leucocarbo bougainvilliorum,Lower_risk,Aquatic,L,M-SC,G,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedGround,none,No,Phalacrocoracidae,Fish,Sea,Sedentary,No,69.7,54.8,11,12.9,69.3,292.8,107.9,184.9,36.8,104.8,3,-45.67,-5.64,2,0,2,1,0.97560823,3.228988335,465608.86,2485,3
Leucocarbo campbelli,Higher_risk,Aquatic,Z,CP,G-R-Z,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Sea,PartiallyMigratory,Yes,59.3,43.1,8.5,11.7,62.1,261,87,173.6,33.4,123.8,3,-52.7,-52.37,3,0,3,2,0.472870805,0,884.1,1897.4,3
Leucocarbo carunculatus,Higher_risk,Aquatic,Z,CP,R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Sea,PartiallyMigratory,Yes,74.9,56.9,13.4,17.2,63.5,287.8,106.2,183.5,36.7,119.8,3,-46.42802353,-44.00578665,3,50,3,2,0,0,0.8,2576.3,3
Leucocarbo chalconotus,Higher_risk,Aquatic,Z,CP,R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Sea,PartiallyMigratory,Yes,65.8,45.8,10.6,14.1,65.5,283.4,95.6,186.7,33.9,113.6,3,-47.4,-44.5,3,0,3,2,0.714074192,3.250374492,13812.17,2220.1,3
Leucocarbo colensoi,Higher_risk,Aquatic,Z,CP,G-R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Invertebrate,Sea,PartiallyMigratory,Yes,63,43.5,8.9,12.4,60.8,273.5,98.4,175.1,36,124.2,3,-51.15,-50.27,3,0,3,2,0.447213595,0,5303.43,2000,3
Leucocarbo magellanicus,Lower_risk,Aquatic,L,CP,R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Sea,Sedentary,No,51.5,38.4,7.7,10.4,54.5,250.4,85.3,163.7,34.3,132.4,3,-57.17,-43.17,3,0,3,2,0.756417617,1.775134682,467962.27,1483.4,4
Leucocarbo onslowi,Higher_risk,Aquatic,Z,CP,R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Sea,PartiallyMigratory,Yes,62.9,41.5,8.4,12.7,64.1,259,92.7,166.3,35.8,103,3,-44.57,-43.53,3,0,3,1,0.472870805,1.193922468,7234.21,2072.7,3
Leucocarbo ranfurlyi,Higher_risk,Aquatic,Z,CP,G-R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Sea,PartiallyMigratory,Yes,65.9,45.1,8.4,12.6,66.6,261.8,84.2,177.6,32.2,115,3,-47.94,-47.48,3,0,3,2,0.472870805,0,2064.16,2500,3
Leucocarbo verrucosus,Lower_risk,Aquatic,S,DM,R,No,Pelecaniformes,AquaticDive,NonCooperative,ExposedElevated,none,No,Phalacrocoracidae,Fish,Coastal,PartiallyMigratory,Yes,57.8,38.1,9,12.1,59.9,267.2,96.5,170.7,36.1,112.8,3,-50.07,-48.4,3,800,1,2,0.637232588,0.999921757,10948.17,2000,4
Leucochloris albicollis,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,26.9,20.5,2.5,2.2,4.7,58.8,37,22,62.8,34,1,-38.26,-17.84,2,1000,4,2,1.323684837,4.072439727,2176859.29,6.3,2
Leucogeranus leucogeranus,Higher_risk,Terrestrial,P,HC,W,No,Gruiformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Gruidae,Omnivore,Wetland,Migratory,No,194.5,103.3,11.8,23.6,274.2,579.2,256,323.2,44.2,198.5,3,59.7,71.8,4,500,2,5,0.816060606,1.545412479,140691.61,5913.4,2
Leucolia violiceps,Lower_risk,Aerial,LN,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,34.14211786,27.05120258,3.095632481,2.659919868,6.210448455,70.2680824,42.84261541,28.23981458,62.37058703,52.07002089,2.128249418,-2.878371667,27.58138773,2,2400,4,2,1.24024081,3.97647259,3310052.414,5.43,2
Leucolia viridifrons,Lower_risk,Aerial,L,CP,T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Forest,Sedentary,No,36.98364735,29.73424517,3.123466856,2.804096587,6.613570195,72.47002544,43.704641,30.15227403,61.26383852,53.43523641,1.124013788,-14.17243802,2.15120394,1,1340,4,2,0.983476893,3.124651826,919203.4862,6.17,2
Leucolia wagneri,Lower_risk,Aerial,L,CP,S-T,No,Caprimulgiformes,AerialScreaning,NonCooperative,ExposedElevated,none,No,Trochilidae,Nectar,Shrub,Sedentary,No,33.66466297,26.54542776,3.048008583,2.719459808,6.345510538,71.65276307,43.41659851,29.40000321,61.39608175,51.41595406,2.049988148,-16.87140519,-0.599473409,1,650,4,2,0.933737976,2.672596961,1315650.023,6.3,2
Leuconotopicus albolarvatus,Lower_risk,Insessorial,N,CV,C-P-T,No,Piciformes,BarkGleaning,NonCooperative,Cavity,strong,No,Picidae,Invertebrate,Forest,Sedentary,No,26,20.5,7.3,7.2,20.4,127,33.1,95.3,25.8,90,2,33.08,50.01,3,2190,1,2,1.094004317,2.996344836,499656.93,61.1,5
Leuconotopicus arizonae,Lower_risk,Insessorial,LN,CV,T,No,Piciformes,ArborealGleaning,NonCooperative,Cavity,strong,No,Picidae,Invertebrate,Forest,Sedentary,No,24.2,18.9,7.1,6.7,19.4,113,31.7,80.3,28.3,73,2,19.25,31.95,2,1600,4,3,1.277722751,4.182653589,330142.61,40.9,5
