Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Leucosticte sillemi,Lower_risk,Terrestrial,P,BU,G,No,Passeriformes,GroundForaging,NonCooperative,Cavity,weak,No,Fringillidae,Seed,Terrestrial,PartiallyMigratory,No,18.06756349,11.99030743,6.793667111,8.364517111,23.45026335,99.66851911,27.08767667,73.02826333,27.10441444,75.33518603,2.512986667,22.6338792,31.41299693,2.767984444,1215.253047,2.526006667,2.116528889,0.416179145,1.386294361,8416.3,28.9,3.864285714
Leucosticte tephrocotis,Lower_risk,Terrestrial,N,CP-CR,R-B-G,No,Passeriformes,GroundForaging,NonCooperative,ExposedElevated,weak,No,Fringillidae,Seed,Grassland,Migratory,No,12.9,9.9,6.4,8.1,19.6,105.5,38.6,66.2,36.9,69.8,3,36.31,69.4,3,3000,5,3,0.684866101,0.405465108,2279904.65,37.8,6
Lewinia mirifica,Lower_risk,Terrestrial,I,SC,G,No,Gruiformes,GroundForaging,NonCooperative,ExposedGround,weak,No,Rallidae,Invertebrate,Grassland,Migratory,Yes,26.2,16.6,3.7,5.3,28.6,96.9,26.7,70.2,27.6,40,2,12.54,18.65,1,2140,3,2,1.351875249,6.021023349,105068.66,68,5.004950495
Lewinia muelleri,Higher_risk,Terrestrial,AZ,HC,Z,No,Gruiformes,GroundForaging,NonCooperative,ExposedGround,weak,Yes,Rallidae,Invertebrate,Artificial,Sedentary,Yes,30.1,19,3.3,5.2,29.2,93.8,18.5,75.5,19.7,41,2,-50.91,-50.6,3,500,4,2,0.632455532,0,43.24,93,2
Lewinia pectoralis,Lower_risk,Terrestrial,A,HC,Z,No,Gruiformes,GroundForaging,NonCooperative,ExposedElevated,weak,No,Rallidae,Invertebrate,Wetland,Sedentary,No,30.1,19,3.3,5.2,29.2,93.8,18.5,75.5,19.7,41,2,-43.64,-0.71,2,2600,6,2,1.040031433,3.044522438,975421.42,78.1,8
Lewinia striata,Lower_risk,Terrestrial,IW,PL,G,No,Gruiformes,GroundForaging,NonCooperative,ExposedGround,strong,No,Rallidae,Invertebrate,Wetland,Sedentary,No,37.4,22.4,4.2,7.2,32.9,114.8,28.2,88.6,24.2,40.6,2,-8.85,32.52,2,1500,6,3,1.318040737,5.27579147,4835230.29,116,9
Lichenostomus chrysops,Lower_risk,Insessorial,F,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Meliphagidae,Omnivore,Terrestrial,Migratory,No,18.65521145,10.33573822,3.914937399,4.312527111,20.37479244,87.53691911,22.05928533,65.70750533,24.85835622,69.17124493,2.053933333,-24.93651887,-4.385882267,1.46226,1195.133947,3.638568889,2.500348889,0.968546928,2.533696814,1457640.8,17.3,2
Lichenostomus cratitius,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Omnivore,Woodland,Sedentary,No,19.1,7.8,2.6,3.8,21.7,82.7,15.8,64.4,19.7,75,2,-37.25,-30.97,3,1000,4,4,0.769160567,1.568615918,479802.48,20.3,2
Lichenostomus fasciogularis,Lower_risk,Insessorial,L,CP,T,No,Passeriformes,ArborealGleaning,Cooperative,ExposedElevated,strong,No,Meliphagidae,Invertebrate,Coastal,Sedentary,No,22.64078378,13.45220794,5.419073111,6.174713255,22.37546117,102.5232364,22.84410719,79.54008644,21.93234444,89.70532222,1.678386667,-6.558470033,2.823708667,1.035513333,1042.004805,2.582611111,1.617751111,1.469252638,4.025351691,43253,26.79,1.5
Lichenostomus flavescens,Lower_risk,Insessorial,A,CP,S-T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,Meliphagidae,Nectar,Terrestrial,Sedentary,No,19.33793297,10.52094049,3.345219462,3.780780889,19.41219547,81.12069044,19.20256877,62.29950302,23.09006673,64.46782997,1.976884444,-27.59257227,-11.96424222,1.538026667,864.16978,3.895593333,2.201559365,0.746174535,0.336472237,1038685.4,12.44,1.5
