decimalLatitude,decimalLongitude,Order,adult_mass_g,max_longevity_d,age_first_reproduction_d,litter_size_n,litters_per_year_n,dispersal_km,density_n_km2,home_range_km2,dphy_invertebrate,dphy_plant,det_vend,det_vect,det_scav,det_diet_breadth_n,altitude_breadth_m,EQ,habitat_Forest,habitat_Savanna,habitat_Shrubland,habitat_Grassland,habitat_Wetlands,habitat_Desert,habitat_Artificial_Terrestrial,n_habitats,human_footprint,roadkill_category
10.020301,-83.215233,Primates,5659.14,9125.0,1382.13,1.0,0.6,2.75,69.534,0.19,0.0,100.0,0.0,0.0,0.0,2.0,1744.60326666667,1.27623926621124,1,0,0,0,0,0,0,1,22.0313472747803,Medium
16.030395,78.890295,Scandentia,160.0,3333.18212403333,332.134693633333,4.84,1.86323983333333,0.387,484.4414779,0.0232159333333333,80.0,20.0,0.0,0.0,0.0,2.0,1937.5652,0.777418881140094,1,0,1,0,0,0,0,2,13.2072696685791,Medium
-28.184825,29.09673,Artiodactyla,33571.24,7300.0,500.475,1.0,1.05,7.321,1.356,14.2355615,0.0,100.0,0.0,0.0,0.0,1.0,2000.0,1.05211904803902,0,1,1,1,0,1,0,4,23.5386486053467,Low
6.5124,-75.8179,Primates,837.0,12337.0,889.981,1.0,1.0,0.961,1.5,2.93572616666667,20.0,70.0,0.0,0.0,0.0,4.0,1784.58496666667,1.55254568243959,1,0,0,0,0,0,0,1,38.2301292419434,Medium
42.405375,128.042614,Rodentia,21.2,1460.0,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20.0,80.0,0.0,0.0,0.0,4.0,1750.0,0.215379181799459,1,0,0,1,1,0,1,4,9.40482425689697,Low
42.40267547,128.0433181,Rodentia,21.2,1460.0,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20.0,80.0,0.0,0.0,0.0,4.0,1750.0,0.215379181799459,1,0,0,1,1,0,1,4,5.14117956161499,Low
49.50914,17.30351,Rodentia,21.2,1460.0,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20.0,80.0,0.0,0.0,0.0,4.0,1750.0,0.215379181799459,1,0,0,1,1,0,1,4,17.3743362426758,High
41.6969,127.7153,Rodentia,21.2,1460.0,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20.0,80.0,0.0,0.0,0.0,4.0,1750.0,0.215379181799459,1,0,0,1,1,0,1,4,0.934690117835999,Medium
36.579695,127.92624,Rodentia,21.2,1460.0,96.985,5.68,3.335,0.127,1098.35,0.0342650666666667,20.0,80.0,0.0,0.0,0.0,4.0,1750.0,0.215379181799459,1,0,0,1,1,0,1,4,24.8207054138184,Low
55.1694,23.8813,Rodentia,29.375,1642.5,68.52,5.5,2.8,0.152,583.5,0.001,20.0,80.0,0.0,0.0,0.0,4.0,1850.0,0.605859075104125,1,0,1,0,0,0,0,2,19.7183208465576,Low
42.9,11.2,Rodentia,29.375,1642.5,68.52,5.5,2.8,0.152,583.5,0.001,20.0,80.0,0.0,0.0,0.0,4.0,1850.0,0.605859075104125,1,0,1,0,0,0,0,2,17.7930774688721,Low
36.579695,127.92624,Rodentia,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.0057980666666666,20.0,80.0,0.0,0.0,0.0,4.0,2365.6924,0.569365151447095,1,0,1,1,1,0,1,5,24.8207054138184,Medium
41.6969,127.7153,Rodentia,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.0057980666666666,20.0,80.0,0.0,0.0,0.0,4.0,2365.6924,0.569365151447095,1,0,1,1,1,0,1,5,0.934690117835999,High
42.405375,128.042614,Rodentia,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.0057980666666666,20.0,80.0,0.0,0.0,0.0,4.0,2365.6924,0.569365151447095,1,0,1,1,1,0,1,5,9.40482425689697,Low
42.40267547,128.0433181,Rodentia,29.4,1934.5,77.349,4.7,2.8,0.152,1537.6426308,0.0057980666666666,20.0,80.0,0.0,0.0,0.0,4.0,2365.6924,0.569365151447095,1,0,1,1,1,0,1,5,5.14117956161499,Medium
42.2801883,127.8093222,Rodentia,43.75,1934.5,90.1737814,4.47,3.581767,0.19,1319.39529263333,0.0058708666666666,20.0,80.0,0.0,0.0,0.0,4.0,2215.52173333333,0.533658643969502,1,0,0,1,0,0,1,4,9.83041954040527,Low
45.212864,9.356684,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,45.5598297119141,Medium
41.7294,1.8272,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,38.2068367004395,High
38.688535,-8.104944,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,16.1559085845947,High
40.9053,-3.8776,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,43.6578025817871,High
49.86098,17.00688,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,23.1265468597412,High
36.9833,-6.4333,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,4.5100212097168,High
38.54,-8.22583333,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,15.662034034729,High
38.6475,-0.54611111,Rodentia,23.4,2308.625,85.0,5.18,3.8,0.134,1700.0,0.007,20.0,80.0,0.0,0.0,0.0,4.0,3300.0,0.589657729131155,1,0,1,1,0,0,1,5,20.0352897644043,High
49.86098,17.00688,Rodentia,108.75,1825.0,365.0,5.08,3.22,0.313,57067.85,0.926429933333331,0.0,100.0,0.0,0.0,0.0,2.0,3210.0,0.590547715805081,1,0,0,1,1,0,1,5,23.1265468597412,High
42.163377,24.528585,Rodentia,108.75,1825.0,365.0,5.08,3.22,0.313,57067.85,0.926429933333331,0.0,100.0,0.0,0.0,0.0,2.0,3210.0,0.590547715805081,1,0,0,1,1,0,1,5,30.6003303527832,High
38.54,-8.22583333,Rodentia,120.0,1825.0,72.828,5.04,3.21,0.33,11738.9126649667,0.0051903333333333,0.0,100.0,0.0,0.0,0.0,2.0,2300.0,0.517521845817324,0,0,0,0,1,0,0,1,15.662034034729,Medium
28.3617,-16.7186,Eulipotyphla,824.49,2555.0,317.900619333333,3.75,2.0,0.953,542.598786999999,0.1452272,20.0,30.0,10.0,30.0,0.0,3.0,900.0,0.296568157645055,1,0,1,1,0,0,1,4,40.4715194702148,High
41.7294,1.8272,Eulipotyphla,824.49,2555.0,317.900619333333,3.75,2.0,0.953,542.598786999999,0.1452272,20.0,30.0,10.0,30.0,0.0,3.0,900.0,0.296568157645055,1,0,1,1,0,0,1,4,38.2068367004395,Medium
