Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RR,ISL,RLM,LAT,Elevational.Range,HB,DB,Nest_Type,Nest_SBS,Flightlessness,Family,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,IUCN_status,Range_size,Body_mass,Order1,Clutch_size,Diet,Habitat_cat,Migration,extinction_risk
Mionectes macconnelli,13.7,8,4.1,3.4,16,60.7,10.2,50.5,16.7,49.8,1,Insessorial,-17.4,8.26,0,0,L,1,500,2,2,SP,"T,S",No,Tyrannidae,AerialSallying,NonCooperative,Cavity,none,No,0.746174534732325,1.70474809223843,LC,2588557.72,13.5,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Mionectes oleagineus,11.8,8.2,4.2,3.4,16,60.5,10.5,50.8,17.1,48.2,1,Insessorial,-22.99,21.4,0,0,L,1,1700,1,2,PN,T,No,Tyrannidae,AerialSallying,NonCooperative,Cavity,none,No,0.960184589404188,2.72785282839839,LC,8947569.12,11.2,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Mionectes olivaceus,13.7,8.9,4.1,3.4,18.2,69,11.2,54.7,17,40,1,Insessorial,8.02,10.97,0,0,L,1,1650,3,2,PN,"T,S",No,Tyrannidae,AerialSallying,NonCooperative,Cavity,none,No,1.13508143878425,3.66867674679642,LC,39754.75,15.3,Passeriformes,3,Fruit,Forest,Sedentary,Lower_risk
Mionectes rufiventris,14.1,9.3,4.3,3.8,16.2,68.4,9.2,60,13.3,55,1,Insessorial,-30.46,-18.6,0,0,L,2,1000,2,2,PN,T,No,Tyrannidae,AerialSallying,NonCooperative,Cavity,none,No,1.46925263807566,4.49200148788245,LC,1057487.4,13.3,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Mionectes striaticollis,14.2,8,4.2,3.4,17.5,66.8,11.1,56.2,16.5,53.7,1,Insessorial,-17.81,7.03,0,0,L,1,1500,2,2,PN,"B,S,T",No,Tyrannidae,AerialSallying,NonCooperative,Cavity,none,No,1.03329948475896,3.62700405039585,LC,318010.85,15,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Mirafra affinis,16.2,11.1,4.9,6.2,26.7,80.2,14.8,65.9,18.4,45.8,3,Terrestrial,5.92,23.42,0,0,I,1,1500,5,2,DM,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,1.44584041167644,5.75574221358691,LC,1030383.64,26.2,Passeriformes,4,Omnivore,Savanna,PartiallyMigratory,Lower_risk
Mirafra africana,22,13.1,4.7,6.1,28.5,98,17.8,79.9,18.2,64.6,3,Terrestrial,-34.21,14.74,0,0,F,2,3000,5,2,"SC,DM",G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,0.997490569933681,3.61361696961339,LC,5074225.03,45,Passeriformes,3,Invertebrate,Grassland,PartiallyMigratory,Lower_risk
Mirafra albicauda,13.3,8.7,4.6,5.9,21.3,79.4,13.2,65.6,16.7,49.2,3,Terrestrial,-8.46,15.05,0,0,F,1,1400,2,2,CP,G,No,Alaudidae,GroundForaging,NonCooperative,ExposedGround,weak,No,0.872683969479439,4.37575702166029,LC,516863.45,22.2,Passeriformes,2,Invertebrate,Grassland,Sedentary,Lower_risk
Mirafra angolensis,17.5,11.2,4.2,5.3,25.5,79.2,13.7,65.5,17.3,48.2,3,Terrestrial,-15.38,-6.38,0,0,F,1,2120,1,2,DM,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,0.989846400767953,2.47653840011748,LC,763784.63,36.2,Passeriformes,3,Invertebrate,Grassland,Sedentary,Lower_risk
Mirafra apiata,15.2,9.1,3.9,5,22.7,80.2,11.8,68.4,14.8,54,1,Terrestrial,-34.84,-27.59,0,0,F,3,1000,2,2,DM,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,1.00249067931432,3.1267605359604,LC,258562.29,26.9,Passeriformes,3,Invertebrate,Shrub,Sedentary,Lower_risk
Mirafra assamica,15.5,9.9,4.7,6.9,24.5,79.8,15.4,64.3,19.2,48.2,3,Terrestrial,20,31.86,0,0,I,2,1000,3,2,CP,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,1.3897196809367,5.92479041383999,LC,808359.62,26.2,Passeriformes,4,Omnivore,Grassland,Sedentary,Lower_risk
Mirafra cheniana,13.1,8.3,4.9,5.9,20.1,73.8,15.2,58.3,20.6,47,3,Terrestrial,-33.01,-19.62,0,0,F,3,1200,1,2,DM,"G,Z",No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,1.38597881341305,4.13356527537538,LC,258493.25,29.2,Passeriformes,4,Seed,Grassland,Sedentary,Lower_risk
Mirafra collaris,15.2,9.5,4.5,5.4,23.2,81.5,13.9,67.6,17,54,2,Terrestrial,-1.59,9.56,0,0,F,1,1250,1,2,DM,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,0.531829589694499,2.64617479738412,LC,319160.76,29.2,Passeriformes,3,Invertebrate,Grassland,Sedentary,Lower_risk
Mirafra erythroptera,13.2,8.5,4.3,5.5,19.4,75,15.6,59.4,20.8,49.5,2,Terrestrial,11.91,33.53,0,0,I,2,1000,2,2,DM,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,1.33328124694796,5.87324391572055,LC,2147813.66,21.3,Passeriformes,4,Omnivore,Shrub,Sedentary,Lower_risk
Mirafra hypermetra,21.9,13.8,5.3,7.1,32.8,112.4,18.5,93.5,16.6,79.4,3,Terrestrial,-5.52,9.96,0,0,F,1,1350,2,2,"SC,DM",G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,strong,No,0.692519423793493,3.64805745959368,LC,451245.37,61.4,Passeriformes,4,Invertebrate,Savanna,Sedentary,Lower_risk
Mirafra javanica,14.4,9.2,5.1,6.1,22,72.6,13.4,59.4,18.4,48,3,Terrestrial,-39.14,33.61,0,0,AIW,2,1680,2,2,DM,G,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,1.0049629315732,4.03953632572711,LC,11569436.06,23,Passeriformes,4,Omnivore,Grassland,Sedentary,Lower_risk
Mirafra passerina,13.9,8.8,4.8,5.8,20.7,80.8,15.7,64.1,19.6,57.2,2,Terrestrial,-28.68,-13.14,0,0,F,2,500,3,2,DM,Z,No,Alaudidae,GroundForaging,NonCooperative,Cavity,weak,No,0.861173529963367,2.37024374146786,LC,1870815.46,24.7,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Mirafra rufocinnamomea,16.2,8.8,4,5,23.2,78.2,10.6,67.6,13.5,53.4,2,Terrestrial,-29.02,15.33,0,0,F,1,1000,3,2,DM,"G,R",No,Alaudidae,GroundForaging,NonCooperative,Cavity,strong,No,1.01705852500181,3.65583960003574,LC,9716191.66,26.3,Passeriformes,4,Invertebrate,Grassland,Sedentary,Lower_risk
Mirafra somalica,24.1,15.5,4.4,5.8,30.4,99.4,16.6,81.9,16.8,71.2,3,Terrestrial,1.96,10.68,0,0,F,1,500,3,2,SC,G,No,Alaudidae,GroundForaging,NonCooperative,ExposedGround,weak,No,0.588566191276542,3.12236492448736,LC,124461.29,46.6,Passeriformes,4,Invertebrate,Grassland,Sedentary,Lower_risk
Mitrephanes phaeocercus,12.1,6.4,4.4,2.6,12.6,70,17.4,51.4,25.3,63,1,Insessorial,0.59,30.09,0,0,L,1,2050,2,1,CP,T,No,Tyrannidae,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.14185834543543,3.9963641538619,LC,599510.84,8.6,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Mitrospingus cassinii,21.6,12.8,5.4,6.9,25.4,83.5,10.3,71.9,12.6,73.2,2,Insessorial,-2.66,10.88,0,0,L,1,800,3,3,CP,S,No,Mitrospingidae,ArborealGleaning,Cooperative,ExposedElevated,strong,No,0.890912674351071,3.14845336057165,LC,167653.28,40.4,Passeriformes,2,Fruit,Shrub,Sedentary,Lower_risk
Mitu tuberosum,59.7,35.8,16.4,42.7,109.6,385.4,39.1,346.4,10.2,329.5,1,Terrestrial,-18.43,-0.81,0,0,L,1,1350,2,3,CP,T,No,Cracidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,0.805030477585033,1.48160454092422,NT,3902756.34,2769.5,Galliformes,3,Fruit,Forest,Sedentary,Lower_risk
Mniotilta varia,13.7,9,2.9,3.3,17.3,68.8,17,49.7,25.5,46.6,1,Insessorial,30.21,65.04,0,0,LN,2,2500,2,1,"CP,CV","G,C",No,Parulidae,BarkGleaning,NonCooperative,ExposedGround,weak,No,1.40977327660698,3.29953372788566,LC,5385503.08,10.9,Passeriformes,5,Invertebrate,Woodland,Migratory,Lower_risk
Modulatrix stictigula,17.5,9,3.3,3.7,30.1,77.7,7.7,69.7,9.9,70.6,1,Generalist,-10.29,-3.96,0,0,F,1,1120,3,2,CP,T,No,Modulatricidae,GroundForaging,Cooperative,ExposedElevated,strong,No,0.948683298050514,3.08190996979504,LC,70768.87,30.5,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Mohoua albicilla,12.7,7.1,3,4.6,25.4,70.4,14,56.4,19.9,65.4,1,Insessorial,-41.61,-36.17,0,1,Z,3,1300,3,3,CP,"S,T",No,Mohouidae,ArborealGleaning,Cooperative,ExposedElevated,weak,No,0.795270728767051,1.58923520511658,LC,36004.25,17.6,Passeriformes,4,Invertebrate,Forest,Sedentary,Lower_risk
Mohoua ochrocephala,14.1,8.1,3.6,5.1,30.9,80.5,15.5,65,19.3,73.8,1,Insessorial,-46.5,-41.01,0,1,Z,3,900,1,3,CP,T,No,Mohouidae,ArborealGleaning,Cooperative,Cavity,weak,No,0.531829589694499,0.262364264467491,NT,16919.77,27.7,Passeriformes,4,Invertebrate,Forest,Sedentary,Lower_risk
Momotus mexicanus,38,26.6,9.1,9.9,26.1,115.7,19.6,97,16.8,164.3,2,Insessorial,14.94,28.29,0,0,L,1,1800,1,2,BU,G,No,Momotidae,AerialSallying,NonCooperative,Cavity,strong,No,1.25868898135142,3.958906591327,LC,322967.33,75.7,Coraciiformes,3,Invertebrate,Woodland,Sedentary,Lower_risk
Momotus momota,42.5,29.4,9.7,12.6,28.4,142.3,26.4,115.8,18.6,253.9,1,Insessorial,-23.69,8.64,0,0,L,1,1200,5,2,BU,G,No,Momotidae,AerialSallying,NonCooperative,Cavity,strong,No,0.936747798897447,2.63188884013665,LC,8096018.25,115,Coraciiformes,5,Invertebrate,Forest,Sedentary,Lower_risk
Monarcha cinerascens,20.7,13.4,6.5,5.3,19.1,79.5,15.6,67.9,18.7,69.1,2,Insessorial,-11.66,4.55,0,1,AW,1,1460,3,1,CP,"S,T",No,Monarchidae,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.883756169761018,4.61412992735956,LC,148476.26,29.6,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Monarcha frater,19.1,12.6,6.3,5.9,18.7,83.7,14.2,69.3,16.9,66.6,1,Insessorial,-15.1,-0.34,0,0,A,1,1200,1,1,CP,T,No,Monarchidae,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.651355562432631,1.94591014905531,LC,226581.08,22,Passeriformes,3,Invertebrate,Forest,PartiallyMigratory,Lower_risk
Monarcha melanopsis,21.2,12.8,6.8,6.2,19.5,89.2,20.6,70.8,22.6,73.6,2,Insessorial,-39.14,-11.89,0,0,A,2,800,5,1,CP,T,No,Monarchidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,1.1501633168956,3.24649099190117,LC,448965.64,22.7,Passeriformes,3,Invertebrate,Forest,Migratory,Lower_risk
Monarcha richardsii,18.9,11,6,5.2,18,76.4,13.2,63.3,17.2,63.2,1,Insessorial,-8.83,-7.57,1,1,A,1,1100,1,1,CP,T,No,Monarchidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,Yes,0.531829589694499,2.66722820658195,NT,5099.33,27.3,Passeriformes,2.21794871794872,Invertebrate,Forest,Sedentary,Lower_risk
Monasa atra,42.1,29.7,9.5,12.2,19.5,125.4,26.4,102.4,20.5,119.8,1,Insessorial,-3.32,9.11,0,0,L,1,1000,3,2,CV,G,No,Bucconidae,AerialSallying,Cooperative,Cavity,strong,No,0.746174534732325,1.52605630349505,LC,1731260.77,90.4,Piciformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Monasa morphoeus,37,25.9,9.1,11.2,19.2,125.5,27.6,98.4,21.9,114.3,1,Insessorial,-20.21,15.3,0,0,L,1,300,4,3,BU,G,No,Bucconidae,AerialSallying,Cooperative,Cavity,strong,No,0.809780125978775,1.84054963339749,LC,5210334.01,87.9,Piciformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Monasa nigrifrons,37.5,28.1,9.5,12.1,21.2,127.8,21.4,106.3,16.8,118.8,1,Insessorial,-22.39,3.26,0,0,L,1,1000,5,2,BU,G,No,Bucconidae,AerialSallying,Cooperative,Cavity,strong,No,0.933691484757216,2.34180580614733,LC,7021917.73,80.7,Piciformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Monias benschi,37.3,20.8,4.3,5.5,35.7,124,12.7,106.5,10.7,132.9,1,Terrestrial,-23.46,-21.47,1,1,M,1,130,1,2,PL,"S,T",No,Mesitornithidae,GroundForaging,Cooperative,ExposedElevated,strong,No,0.707106781186548,3.38777436133001,VU,12321.8,137.9,Mesitornithiformes,2,Invertebrate,Shrub,Sedentary,Higher_risk
Monticola angolensis,22.9,12.4,5.2,6.1,25.6,96.8,20.2,76.4,20.9,65.4,2,Terrestrial,-20.82,-1.23,0,0,F,1,2250,3,2,CP,"C,T",No,Muscicapidae,GroundForaging,NonCooperative,Cavity,strong,No,1.04663513939211,3.24259235148552,LC,2218343.4,44.4,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Monticola brevipes,24,14.2,5,5,24.3,102.4,24.2,78.2,23.6,63.1,2,Terrestrial,-33.36,-11.96,0,0,F,2,2000,4,3,CP,"G,R",No,Muscicapidae,GroundForaging,NonCooperative,Cavity,weak,No,1.09922909230035,3.28840188751681,LC,1043690.36,33,Passeriformes,4,Invertebrate,Rocky,Sedentary,Lower_risk
Monticola erythronotus,18.7,10,4.2,4.8,25.8,78.4,11.4,66.9,14.5,62.8,1,Insessorial,-12.71,-12.44,1,1,M,1,500,1,2,"CP,CR","G,S,T",No,Muscicapidae,ArborealGleaning,NonCooperative,ExposedElevated,strong,No,0.720843424240426,3.20680324363393,EN,377.22,28.3,Passeriformes,3,Invertebrate,Forest,Sedentary,Higher_risk
Monticola explorator,23,13.2,4.6,5.1,32.8,100.1,25.1,75,25,61,3,Generalist,-34.84,-24.68,0,0,F,3,2600,3,3,"CP,CR","G,R",No,Muscicapidae,GroundForaging,NonCooperative,Cavity,strong,No,1.29472215607211,4.11577984294217,NT,368644.24,44.4,Passeriformes,4,Invertebrate,Grassland,Sedentary,Lower_risk
Monticola gularis,20.4,11.2,4.4,5.8,23.8,97,30.7,66.1,31.7,64.2,2,Terrestrial,34.48,55.52,0,0,IP,2,1650,4,1,"CP,CR","G,R,S,C",No,Muscicapidae,GroundForaging,NonCooperative,Cavity,weak,No,1.05737126344056,4.01096295328305,LC,2211022.26,34.6,Passeriformes,8,Invertebrate,Forest,Migratory,Lower_risk
Monticola imerina,21.5,12.8,4.1,5,25.9,80.3,13.5,66.9,16.7,68.9,2,Generalist,-25.61,-21.74,0,1,M,2,200,3,2,CP,T,No,Muscicapidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.588566191276542,3.31054301339402,LC,18846.5,28.3,Passeriformes,3,Fruit,Shrub,Sedentary,Lower_risk
Monticola rufiventris,25.9,13.7,5.3,6.3,26.6,120.8,29.4,92.5,24.1,98.2,1,Generalist,18.7,34.65,0,0,IP,2,2200,4,3,"CP,CR","G,R",No,Muscicapidae,GroundForaging,NonCooperative,Cavity,weak,No,1.20380134350272,5.32056797548286,LC,2361111.08,53.2,Passeriformes,6,Invertebrate,Forest,Sedentary,Lower_risk
Monticola rupestris,27.2,15.5,5.3,6.2,30.4,112.1,24.8,86.9,22.2,77.7,3,Generalist,-34.84,-22.63,0,0,F,3,2500,4,3,"PL,CR","B,R,S",No,Muscicapidae,ArborealGleaning,NonCooperative,Cavity,weak,No,1.23149303238399,4.02891675689965,LC,557569.05,61.4,Passeriformes,4,Herbivore,Rocky,Sedentary,Lower_risk
Monticola saxatilis,25.2,14.1,4.9,5.3,27.9,120.8,43.8,77,36.2,62,2,Insessorial,28.43,54.81,0,0,E,2,5000,8,2,"HC,CR,CV","B,G,R,T",No,Muscicapidae,AerialSallying,NonCooperative,Cavity,weak,No,1.11398714741198,3.53514535417189,LC,8709224.99,50.3,Passeriformes,6,Invertebrate,Rocky,Migratory,Lower_risk
Monticola semirufus,23.2,11.4,4.3,5.5,26,109,20.8,88.3,19,76.6,2,Terrestrial,3.98,14.81,0,0,F,1,1250,5,1,CR,R,No,Muscicapidae,GroundForaging,NonCooperative,ExposedElevated,strong,No,0.890912674351071,4.55597994179732,LC,386134.07,46.7,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Monticola sharpei,18.1,10.3,4.1,4.6,24.3,75.5,14.1,61.6,18.5,58,1,Insessorial,-25.07,-13.26,0,1,M,1,1700,4,2,"CP,CR,CV","B,R,S,T",No,Muscicapidae,ArborealGleaning,NonCooperative,Cavity,weak,No,0.942772210945761,3.74950407593037,LC,242865.01,24.8,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Monticola solitarius,28.1,15.7,5.3,6,28.3,121.1,35.8,85.4,29.5,84.6,3,Insessorial,-3.3,50.34,0,0,E,2,4200,9,3,"HC,SA,CR,CV","B,G,T,R",No,Muscicapidae,AerialSallying,NonCooperative,Cavity,weak,No,1.40438893912321,5.06890420222023,LC,9788977.12,53.7,Passeriformes,6,Invertebrate,Rocky,PartiallyMigratory,Lower_risk
Montifringilla adamsi,14.3,11.5,7.3,7.5,20.1,107.2,36.8,71.5,34,67,3,Terrestrial,27.31,36.76,0,0,P,3,1700,3,2,"CR,CP,BU","G,R,N",No,Passeridae,GroundForaging,NonCooperative,Cavity,weak,No,0.531829589694499,1.52605630349505,LC,980500.67,31.3,Passeriformes,4,Seed,Grassland,PartiallyMigratory,Lower_risk
Montifringilla nivalis,14.4,10.8,7.1,7.9,21.1,119,45.4,73.6,38.1,69.6,3,Terrestrial,28.63,51.43,0,0,P,3,3300,2,2,"CR,BU","G,R,N,B",No,Passeridae,GroundForaging,NonCooperative,Cavity,weak,No,1.2459604606993,3.8155121050473,LC,4071489.06,36.9,Passeriformes,5,Seed,Rocky,PartiallyMigratory,Lower_risk
Morococcyx erythropygus,25.2,14.9,5.6,7.2,34.4,99,8.2,90.8,8.3,128,2,Insessorial,9.55,24.2,0,0,L,1,1500,2,1,CP,G,No,Cuculidae,ArborealGleaning,NonCooperative,ExposedGround,strong,No,1.27225838791649,4.3502779363593,LC,358833.18,64.5,Cuculiformes,2,Invertebrate,Shrub,Sedentary,Lower_risk
Morus bassanus,98.7,98,24.8,32,60,485.8,300.5,183.5,62.1,206.2,3,Aerial,16.59,73.73,0,0,NP,4,200,3,2,CP,"G,R",No,Sulidae,AquaticPlunge,NonCooperative,ExposedElevated,none,No,0.668740304976422,5.53575822256307,LC,18270100.05,2998.7,Pelecaniformes,1,Fish,Sea,PartiallyMigratory,Lower_risk
Morus capensis,91,91,23,29.1,59.4,449.8,269,180.8,59.8,173,3,Aerial,-33.84,-25.72,0,0,F,2,0,2,1,M,G,No,Sulidae,AquaticPlunge,NonCooperative,ExposedGround,none,No,0.914691219228694,2.18605127673809,EN,2.93,2643.4,Pelecaniformes,1,Fish,Sea,PartiallyMigratory,Higher_risk
Morus serrator,88.3,87,22.6,29.4,54.1,461,279.5,174.2,61.6,200.5,3,Aerial,-46.68,-23.48,0,0,AZ,3,0,2,1,M,G,No,Sulidae,AquaticPlunge,NonCooperative,ExposedGround,none,No,1.00249067931432,2.62466859216316,LC,10238.62,2350,Pelecaniformes,1,Fish,Sea,PartiallyMigratory,Lower_risk
Motacilla aguimp,18.7,10.5,3.5,3.7,24,91.3,23.1,68.1,25.3,94.2,2,Terrestrial,-34.21,23.83,0,0,F,2,3000,4,1,"CP,CR","B,G,R,Z",No,Motacillidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,1.01227223442904,3.67122451887522,LC,11321309.29,27,Passeriformes,7,Invertebrate,Riparian,Sedentary,Lower_risk
Motacilla alba,16.1,9.7,3.4,3.5,23.4,87,27.4,59.7,31.4,86.8,3,Terrestrial,22.95,76,0,0,E,5,5000,4,3,"CP,CR,BU","B,G,R,N",No,Motacillidae,GroundForaging,NonCooperative,Cavity,weak,No,1.18920711500272,3.8458832029236,LC,39488711.64,23.9,Passeriformes,8,Invertebrate,Riparian,Migratory,Lower_risk
Motacilla capensis,16.6,10.2,3.2,3.6,23.1,81.6,21,60,25.9,86.2,3,Terrestrial,-34.84,2.61,0,0,F,2,3000,6,1,CP,"G,S,T",No,Motacillidae,GroundForaging,NonCooperative,ExposedGround,weak,No,1.24981996110693,4.0926765051214,LC,3891210.17,20.8,Passeriformes,4,Invertebrate,Wetland,PartiallyMigratory,Lower_risk
Motacilla cinerea,17.4,10.8,3.1,3,18.2,82.8,28.6,54,34.6,94.4,3,Terrestrial,21.89,70.42,0,0,E,5,4100,5,1,CP,"B,G,R",No,Motacillidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,1.24981996110693,3.90399083373088,LC,19613139.17,17.2,Passeriformes,7,Invertebrate,Riparian,PartiallyMigratory,Lower_risk
Motacilla citreola,16.2,9.6,3.2,3.5,25.3,85.5,24.2,61.7,28.2,82.8,3,Terrestrial,26.07,74.32,0,0,IP,5,4600,6,1,CP,G,No,Motacillidae,GroundForaging,NonCooperative,ExposedGround,weak,No,0.987258544901434,2.77881927199042,LC,16401945.75,19.1,Passeriformes,7,Invertebrate,Wetland,Migratory,Lower_risk
Motacilla clara,17.7,10.2,3.7,3.5,20.3,82.2,21.4,60.3,26.2,97.9,3,Terrestrial,-33.58,15.06,0,0,F,2,500,2,1,CP,"B,G,R",No,Motacillidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,1.03555807634162,4.00914971615887,LC,3122291.69,17.9,Passeriformes,4,Invertebrate,Riparian,Sedentary,Lower_risk
Motacilla flava,16,9.6,3.2,3.5,23.1,79.5,24.7,54.5,31.1,70.6,3,Terrestrial,17.62,72.89,0,0,E,5,4500,8,2,CP,G,No,Motacillidae,GroundForaging,NonCooperative,ExposedGround,weak,No,1.35086222801937,3.96840333886425,LC,19198163.05,17.7,Passeriformes,6,Invertebrate,Grassland,Migratory,Lower_risk
Motacilla flaviventris,16.5,9.7,3.4,3.7,22.5,81.2,21.6,59.7,26.5,86.5,3,Terrestrial,-25.61,-11.95,0,1,M,2,2600,6,1,CP,"B,R,S,T",No,Motacillidae,GroundForaging,NonCooperative,ExposedElevated,strong,No,0.91140681711945,3.3357695763397,LC,591120.51,22.5,Passeriformes,4,Invertebrate,Wetland,Sedentary,Lower_risk
Motacilla grandis,17.9,11.2,2.9,3.7,25.5,93.9,26.9,66.7,28.7,99.6,3,Terrestrial,30.99,45.52,0,1,P,3,1500,4,1,CP,"B,G,T,Z",No,Motacillidae,GroundForaging,NonCooperative,ExposedElevated,weak,No,1.93949699013966,5.76832099579377,LC,413664.86,30.2,Passeriformes,7,Invertebrate,Riparian,Sedentary,Lower_risk
Motacilla maderaspatensis,18.8,11.8,3.7,4.1,25.8,97.1,24.8,71.6,25.6,105.4,3,Terrestrial,8.07,34.17,0,0,IP,2,2200,3,1,"CP,CR","B,G,R,T,N",No,Motacillidae,GroundForaging,NonCooperative,Cavity,weak,No,1.42383759371332,5.98670323000627,LC,2810164.27,30.5,Passeriformes,5,Invertebrate,Riparian,Sedentary,Lower_risk
Motacilla samveasnae,17.6,11.1,3.5,3.6,21.8,78.5,21.1,57.4,26.9,77.8,3,Generalist,12.59,15.14,0,0,I,1,1000,1,1,CR,"G,R",No,Motacillidae,GroundForaging,NonCooperative,Cavity,weak,No,1.12643586326295,2.92316158071916,NT,37892.03,22.7,Passeriformes,3.61764705882354,Invertebrate,Riparian,Sedentary,Lower_risk
Moupinia poecilotis,11.2,5.8,2.6,3.6,20.7,52.6,3.9,47.9,7.4,68.6,3,Insessorial,26.9,34.44,0,0,P,3,1800,2,1,CP,T,No,Sylviidae,ArborealGleaning,Cooperative,ExposedElevated,strong,No,0.805030477585033,3.51749783735832,LC,261236.65,18.7,Passeriformes,3,Invertebrate,Shrub,Sedentary,Lower_risk
Mulleripicus fulvus,43.6,31.4,11,11,32.2,179.5,30.2,147.8,17,166.4,1,Insessorial,-5.64,1.74,0,1,I,1,2200,2,1,CV,"C,T",No,Picidae,BarkGleaning,Cooperative,Cavity,weak,No,0.68486610076886,3.48737507790321,LC,103818.08,312.3,Piciformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Mulleripicus pulverulentus,69,47.5,14.6,14.3,38.9,238.6,58.7,180.1,24.5,171.4,1,Insessorial,-7.55,32.49,0,0,I,2,1100,3,1,CV,T,No,Picidae,BarkGleaning,Cooperative,Cavity,strong,No,1.20523188832415,4.46705688385846,VU,2509970.1,450.2,Piciformes,4,Invertebrate,Forest,Sedentary,Higher_risk
Muscicapa adusta,12.6,6.5,4.2,2.9,13.6,63.4,12.4,50.8,19.6,49.5,2,Insessorial,-34.84,15.9,0,0,F,2,2500,5,2,"CP,O,CV","T,R",No,Muscicapidae,AerialSallying,NonCooperative,Cavity,weak,No,1.05737126344056,4.20469261939097,LC,2389660.85,10.4,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Muscicapa aquatica,13.6,7.1,4.3,3.4,13.2,67,10.1,56.7,15.1,54,2,Insessorial,-15.37,16.53,0,0,F,1,4000,2,1,"CR,O","B,T",No,Muscicapidae,AerialSallying,NonCooperative,Cavity,strong,No,1.07187337372826,3.94158180766969,LC,1932273.67,11.5,Passeriformes,3,Invertebrate,Wetland,Sedentary,Lower_risk
Muscicapa cassini,15,8.4,4.3,3.2,13.4,67.8,11.2,55.8,16.7,55.6,3,Insessorial,-13.05,10.65,0,0,F,1,1800,2,1,"CP,O","C,R,T",No,Muscicapidae,AerialSallying,NonCooperative,Cavity,strong,No,0.97128683364167,3.70868208141012,LC,3716280.13,17.3,Passeriformes,3,Invertebrate,Riparian,Sedentary,Lower_risk
Muscicapa epulata,11.3,6.2,3.8,3,11.6,56.3,8.3,46.9,15,38.8,1,Insessorial,-5.82,9.43,0,0,F,1,1000,3,2,CP,N,No,Muscicapidae,AerialSallying,NonCooperative,ExposedElevated,weak,No,0.853235599894925,3.61091791264422,LC,903510.24,9.6,Passeriformes,2,Invertebrate,Forest,Sedentary,Lower_risk
Muscicapa ferruginea,11.6,6.4,4.6,2.7,11.6,70,22.9,47.4,32.5,45.6,1,Insessorial,19.51,37.32,0,0,I,2,2800,1,1,CP,T,No,Muscicapidae,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.10110651859764,4.92870191133357,LC,1500474.1,12,Passeriformes,3,Invertebrate,Forest,Sedentary,Lower_risk
Muscicapa gambagae,12.6,7.1,4.2,3.5,14.7,71.9,15.1,57.3,20.8,60.2,2,Insessorial,-0.76,21.99,0,0,F,1,1000,5,1,CP,"S,T",No,Muscicapidae,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.17250701852345,3.91402100809082,LC,668892.01,13,Passeriformes,2,Invertebrate,Woodland,Sedentary,Lower_risk
