original_name,standardized_name,Residential_development,Agriculture,Energy,Transportation,Biological_use_hunting,Human_intrusions,Natural_modifications,Invasive_species,Pollution,Geological_events,Climate_change,Number_of_threats,Habitat_density,Primary_lifestyle,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Flightlessness,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Foraging_strategy,Mating_system,Nest_placement,Territoriality,Island_dwelling,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Nothura maculosa,Nothura maculosa,0,1,0,0,1,0,0,0,0,0,0,2,2,Terrestrial,19.7,9.2,5.8,5.2,34.7,124.1,30.9,93.6,24.7,42.5,-41.72,-2.77,0,L,2,0,2300,2300,6,4,No,0.720634361,1.620051945,7.101409163,3.222422907,GroundForaging,NonCooperative,ExposedGround,strong,No,1.21926489112574,3.6454498961866,STRUTHIONIFORMES,Tinamidae,5645223.73,257.5,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
Eudromia elegans,Eudromia elegans,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,29.1,13.8,7.4,7.4,44,215.3,74,141.8,34.3,85.8,-50.16,-19.72,0,L,3,0,2850,2850,2,4,No,0.717871405,1.79842418,18.13656227,4.964601192,GroundForaging,NonCooperative,ExposedGround,weak,No,0.933691484757216,1.96009478404727,STRUTHIONIFORMES,Tinamidae,1493624.4,702.9,LC,16,Omnivore,Shrub,Sedentary,Lower_risk
Tinamotis pentlandii,Tinamotis pentlandii,0,0,0,0,0,0,0,0,0,0,0,0,3,Terrestrial,31.2,14.8,7.4,7.5,47.6,253.4,83.5,169.8,33,69.2,-26.42,-10.13,0,L,2,3500,1500,5000,4,1,No,0.713441908,1.770919557,16.64101344,4.652603452,GroundForaging,NonCooperative,ExposedGround,strong,No,0.880111736793393,2.79728133483015,STRUTHIONIFORMES,Tinamidae,632710.16,650,LC,7,Omnivore,Shrub,Sedentary,Lower_risk
Tinamotis ingoufi,Tinamotis ingoufi,0,0,0,0,0,0,0,0,0,0,0,0,3,Terrestrial,28.6,13.6,7.2,6.8,43.6,215.2,77.2,138,36,57.3,-52.76,-40.37,0,L,3,0,800,800,4,2,No,0.46311061,1.138516722,13.79858114,2.938060626,GroundForaging,NonCooperative,ExposedGround,strong,No,0.707106781186548,0.8754687373539,STRUTHIONIFORMES,Tinamidae,403733.45,950,LC,12,Omnivore,Grassland,Sedentary,Lower_risk
Casuarius casuarius,Casuarius casuarius,1,1,0,1,1,0,1,1,0,0,1,7,1,Terrestrial,104.8,26.5,14.3,20.6,287.2,300.8,0.2,300.6,0.1,402.5,-18.93,-0.74,0,A,1,0,500,500,3,3,Yes,0.91078162,4.002902154,32.37545411,12.14449609,GroundForaging,NonCooperative,ExposedGround,strong,No,0.642114135151817,1.80828877117927,STRUTHIONIFORMES,Casuariidae,379633.34,44000,LC,8,Fruit,Forest,Sedentary,Lower_risk
Casuarius bennetti,Casuarius bennetti,0,1,0,1,1,0,0,1,0,0,0,4,1,Terrestrial,73.8,19.4,10.8,16.1,260,216.8,0.2,216.6,0.1,318.8,-10.66,-0.34,1,A,1,0,3300,3300,2,5,Yes,0.905471131,3.826471743,30.7518452,11.55406202,GroundForaging,NonCooperative,ExposedGround,weak,No,0.632455532033676,2.4423470353692,STRUTHIONIFORMES,Casuariidae,396486.38,35000,LC,5,Fruit,Forest,Sedentary,Lower_risk
Casuarius unappendiculatus,Casuarius unappendiculatus,0,1,0,0,1,0,0,0,0,0,0,2,1,Terrestrial,88.1,25,14.3,23.2,303.4,264.5,0.2,264.3,0.1,273.5,-5.64,-0.34,1,A,1,0,700,700,1,4,Yes,0.934550407,3.846149091,29.46275769,12.72197507,GroundForaging,NonCooperative,ExposedGround,weak,No,0.668740304976422,2.35137525716348,STRUTHIONIFORMES,Casuariidae,185350.58,46073.9,LC,5,Fruit,Forest,Sedentary,Lower_risk
Dromaius novaehollandiae,Dromaius novaehollandiae,0,0,0,0,0,0,0,0,0,0,0,0,3,Terrestrial,81.5,26.5,32.2,17.7,382.8,124.5,0.1,124.4,0.1,430,-39.14,-11.12,0,A,2,0,1600,1600,5,5,Yes,0.815734108,2.254438809,30,7.631266788,GroundForaging,NonCooperative,ExposedGround,weak,No,0.774596669241483,1.45861502269952,STRUTHIONIFORMES,Casuariidae,4231350.45,34093.3,LC,24,Omnivore,Savanna,Sedentary,Lower_risk
Apteryx haastii,Apteryx haastii,0,0,0,0,0,0,0,1,0,0,0,1,2,Terrestrial,139.1,6.3,4.9,5.6,74.9,0.1,0.1,0.1,0.1,0.1,-42.84,-40.5,1,Z,3,700,400,1100,3,3,Yes,0.901346428,2.440124311,24.23277689,9.253745993,GroundForaging,NonCooperative,Cavity,strong,No,0.611690884906252,0.470003629245736,STRUTHIONIFORMES,Apterygidae,8561.32,2022.7,VU,2,Invertebrate,Grassland,Sedentary,Higher_risk
Apteryx owenii,Apteryx owenii,0,0,0,0,0,0,0,1,0,0,0,1,1,Terrestrial,85.3,2,3.3,3.6,59.6,0.1,0.1,0.1,0.1,0.1,-41.29,-35.89,1,Z,3,0,1000,1000,3,3,Yes,0.879185215,2.5,27,8.82956697,GroundForaging,NonCooperative,Cavity,strong,Yes,1.17559665536634,0,STRUTHIONIFORMES,Apterygidae,35.17,1238.3,NT,2,Invertebrate,Forest,Sedentary,Lower_risk
