"scientificName_final","decimalLatitude","decimalLongitude","Order","Annualroadkillrate_corrected","adult_mass_g","max_longevity_d","age_first_reproduction_d","litter_size_n","litters_per_year_n","dispersal_km","density_n_km2","home_range_km2","dphy_invertebrate","dphy_plant","det_vend","det_vect","det_scav","det_diet_breadth_n","altitude_breadth_m","EQ","habitat_Forest","habitat_Savanna","habitat_Shrubland","habitat_Grassland","habitat_Wetlands","habitat_Desert","habitat_Artificial_Terrestrial","n_habitats","human_footprint","log_roadkill","roadkill_category"
"Alouatta guariba",-30.347781,-53.998679,"Primates",0.032144079,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,14.2240552902222,-3.43752701322219,"Medium"
"Alouatta guariba",-27.35,-50.9,"Primates",0.081792717,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,9.98854160308838,-2.50356707356705,"Medium"
"Alouatta guariba",-21.470753,-47.908255,"Primates",0.005964676,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,12.5507373809814,-5.12190054175575,"Low"
"Alouatta guariba",-30.117957,-53.619222,"Primates",0.040456498,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,19.8435955047607,-3.20752800561045,"Medium"
"Alouatta guariba",-24.866723,-50.445759,"Primates",0.002047778,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,17.5704498291016,-6.19099997611791,"Low"
"Alouatta guariba",-26.07434,-49.744804,"Primates",0.002923836,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,26.9103565216064,-5.83485882621887,"Low"
"Alouatta guariba",-22.307184,-43.130266,"Primates",0.005390626,5188.33,5040.042,859.195820733333,1.47969426666667,1.13316826666667,2.622,30.423,0.03,0,100,0.0906666666666667,0.02,0.210666666666667,1.9771,1714.5525,1.45791990959245,"1","0","0","0","0","0","0",1,31.5623340606689,-5.22309375980322,"Low"
"Alouatta palliata",10.020301,-83.215233,"Primates",0.072707714,5659.14,9125,1382.13,1,0.6,2.75,69.534,0.19,0,100,0,0,0,2,1744.60326666667,1.27623926621124,"1","0","0","0","0","0","0",1,22.0313472747803,-2.62130779278141,"Medium"
"Anathana ellioti",16.030395,78.890295,"Scandentia",0.025903704,160,3333.18212403333,332.134693633333,4.84,1.86323983333333,0.387,484.4414779,0.0232159333333333,80,20,0,0,0,2,1937.5652,0.777418881140094,"1","0","1","0","0","0","0",2,13.2072696685791,-3.65336930891882,"Medium"
"Antidorcas marsupialis",-28.184825,29.09673,"Artiodactyla",0.006107219,33571.24,7300,500.475,1,1.05,7.321,1.356,14.2355615,0,100,0,0,0,1,2000,1.05211904803902,"0","1","1","1","0","1","0",4,23.5386486053467,-5.09828376489615,"Low"
